vt_symbol,score,weight,target_value
001267.SZSE,0.322668,0.046,23003.15
688167.SSE,0.313658,0.046,23003.15
301396.SZSE,0.304376,0.046,23003.15
688668.SSE,0.30085,0.046,23003.15
001359.SZSE,0.28987,0.046,23003.15
600869.SSE,0.288662,0.046,23003.15
002636.SZSE,0.277428,0.046,23003.15
002428.SZSE,0.274751,0.046,23003.15
688691.SSE,0.269668,0.046,23003.15
000962.SZSE,0.269491,0.046,23003.15
