vt_symbol,score,weight,target_value
001267.SZSE,0.322668,0.0153,7667.72
688167.SSE,0.313658,0.0153,7667.72
301396.SZSE,0.304376,0.0153,7667.72
688668.SSE,0.30085,0.0153,7667.72
001359.SZSE,0.28987,0.0153,7667.72
600869.SSE,0.288662,0.0153,7667.72
002636.SZSE,0.277428,0.0153,7667.72
002428.SZSE,0.274751,0.0153,7667.72
688691.SSE,0.269668,0.0153,7667.72
000962.SZSE,0.269491,0.0153,7667.72
300672.SZSE,0.262227,0.0153,7667.72
002484.SZSE,0.255808,0.0153,7667.72
603306.SSE,0.255102,0.0153,7667.72
600353.SSE,0.2546,0.0153,7667.72
688195.SSE,0.254429,0.0153,7667.72
002290.SZSE,0.247793,0.0153,7667.72
301392.SZSE,0.244011,0.0153,7667.72
688403.SSE,0.241793,0.0153,7667.72
688205.SSE,0.241696,0.0153,7667.72
002897.SZSE,0.240995,0.0153,7667.72
688531.SSE,0.239708,0.0153,7667.72
301389.SZSE,0.239461,0.0153,7667.72
301095.SZSE,0.238078,0.0153,7667.72
600226.SSE,0.2377,0.0153,7667.72
301489.SZSE,0.229835,0.0153,7667.72
300131.SZSE,0.228889,0.0153,7667.72
603063.SSE,0.226235,0.0153,7667.72
600641.SSE,0.226106,0.0153,7667.72
301225.SZSE,0.225786,0.0153,7667.72
002046.SZSE,0.224938,0.0153,7667.72
