date,monthly_return
2022-02-28,0.0356689554453391
2022-03-31,-0.004047292889166387
2022-04-30,-0.034645464836319695
2022-05-31,0.05326832737524989
2022-06-30,0.01827780889389441
2022-07-31,0.015072266846830384
2022-08-31,-0.017279281827381365
2022-09-30,-0.030849326976458813
2022-10-31,0.01776844032195557
2022-11-30,0.03144807677318018
2022-12-31,-0.0030192593938181966
2023-01-31,0.018318053784954547
2023-02-28,0.021074500860571055
2023-03-31,-0.006372265631854113
2023-04-30,-0.0076415960741190725
2023-05-31,-0.0017075015336489585
2023-06-30,0.010545863294060709
2023-07-31,-0.00115062432539359
2023-08-31,-0.009901656135494874
2023-09-30,-0.007883433793859362
2023-10-31,-0.0012739600832148978
2023-11-30,0.020071014006685095
2023-12-31,-0.015363883936361344
2024-01-31,-0.06329978466264619
2024-02-29,0.051607270835912544
2024-03-31,0.013634872831041589
2024-04-30,-0.023327470973881104
2024-05-31,-0.014178460992320008
2024-06-30,-0.027620139662940746
2024-07-31,-0.0007341563713338939
2024-08-31,-0.002339653488173332
2024-09-30,0.06028132194529667
2024-10-31,0.07206420339268216
2024-11-30,0.05101045640559754
2024-12-31,-0.0038203033028313405
2025-01-31,-0.001140078357530272
2025-02-28,0.05989986639557654
2025-03-31,0.012563306821496756
2025-04-30,0.046512460485170104
2025-05-31,0.016378574047433148
2025-06-30,0.026053007052508903
2025-07-31,0.01748222962422319
2025-08-31,0.0464541157131757
2025-09-30,0.014564862548600788
2025-10-31,-0.003522868361815701
2025-11-30,-0.007937255617010086
2025-12-31,0.02282879007336036
2026-01-31,0.051347036846712824
2026-02-28,0.021199300438673907
2026-03-31,-0.019512235943888623
2026-04-30,0.04048016841204172
2026-05-31,-0.007379792969015808
2026-06-30,-0.01070313318983629
2026-07-31,-0.10670688247341442
