,equity,returns,drawdown
2022-01-04,500000.0,0.0,0.0
2022-01-05,500000.0,0.0,0.0
2022-01-06,500000.0,0.0,0.0
2022-01-07,500000.0,0.0,0.0
2022-01-10,500000.0,0.0,0.0
2022-01-11,500000.0,0.0,0.0
2022-01-12,500000.0,0.0,0.0
2022-01-13,500000.0,0.0,0.0
2022-01-14,500000.0,0.0,0.0
2022-01-17,500000.0,0.0,0.0
2022-01-18,500000.0,0.0,0.0
2022-01-19,500000.0,0.0,0.0
2022-01-20,500000.0,0.0,0.0
2022-01-21,500000.0,0.0,0.0
2022-01-24,500000.0,0.0,0.0
2022-01-25,500000.0,0.0,0.0
2022-01-26,500000.0,0.0,0.0
2022-01-27,500000.0,0.0,0.0
2022-01-28,500000.0,0.0,0.0
2022-02-07,500000.0,0.0,0.0
2022-02-08,501903.2891784258,0.0038065783568514977,0.0
2022-02-09,511814.72256525897,0.019747695622910566,0.0
2022-02-10,510240.32111521903,-0.0030761159861695253,-0.0030761159861695253
2022-02-11,502502.2823845758,-0.015165478717421577,-0.01819494393207055
2022-02-14,503565.3169228423,0.002115482009797054,-0.01611795299883123
2022-02-15,507457.7475026791,0.007729743191255745,-0.00851279744502531
2022-02-16,510937.5596503591,0.006857343620833456,-0.0017138290014470092
2022-02-17,505109.4422947158,-0.01140671153561612,-0.01310099138402221
2022-02-18,509320.2535847423,0.008336433527943443,-0.004873773399901804
2022-02-21,520019.5516139923,0.021007014651283296,0.0
2022-02-22,512913.42124420893,-0.01366512152808097,-0.01366512152808097
2022-02-23,518460.3609714523,0.010814573176478381,-0.0029983308083334492
2022-02-24,500262.544997209,-0.03509972476998169,-0.03799281499217333
2022-02-25,503123.05302592576,0.005718013585711779,-0.03249204483874624
2022-02-28,507354.0081967991,0.008409384434736378,-0.024355898500129425
2022-03-01,508833.05167097563,0.002915209992000012,-0.021511691066801175
2022-03-02,508198.87437267567,-0.0012463366839425838,-0.022731216941033527
2022-03-03,501989.23089366895,-0.012218924110510732,-0.034672390036802225
