feature,importance
tod,6035
ma_gap_60,2725
spread,2683
ret1,2632
amihud,2402
atr_20,2260
vwap_gap,2085
day_ret,2074
ret3,1502
ret10,1476
atr_10,1399
ma_gap_5,1339
ret20,1250
ret5,1220
day_high_pct,1199
day_low_pct,1048
vol_z_30,883
ma_gap_10,766
rsi_14,735
ma_gap_20,622
vol_z_10,597
order_imbalance,189
session,79
