date,equity,cash,hold_value,n_holding,ret
2025-08-25,50000.0,50000.0,0.0,0,0.0
2025-08-26,50000.0,50000.0,0.0,0,0.0
2025-08-27,49237.64,30587.55,18650.09,2,-0.015247
2025-08-28,49605.29,30260.9,19344.39,2,0.007467
2025-08-29,49319.33,40847.54,8471.79,1,-0.005765
2025-09-01,49139.88,30053.45,19086.43,2,-0.003638
2025-09-02,48712.83,48712.83,0.0,0,-0.008691
2025-09-03,48399.2,39479.2,8920.0,1,-0.006438
2025-09-04,48508.29,39165.72,9342.58,1,0.002254
2025-09-05,48416.64,39037.93,9378.71,1,-0.001889
2025-09-08,48589.47,10164.55,38424.93,4,0.00357
2025-09-09,50298.75,20767.26,29531.49,3,0.035178
2025-09-10,49935.17,6932.03,43003.14,5,-0.007228
2025-09-11,50191.26,1957.35,48233.91,5,0.005128
2025-09-12,51796.08,33867.18,17928.9,2,0.031974
2025-09-15,51642.26,8850.77,42791.5,5,-0.00297
2025-09-16,51526.83,13988.19,37538.64,4,-0.002235
2025-09-17,52332.8,25361.56,26971.24,3,0.015642
2025-09-18,52017.89,5696.43,46321.46,5,-0.006017
2025-09-19,51969.6,14081.5,37888.11,4,-0.000928
2025-09-22,53499.25,7120.67,46378.58,5,0.029434
2025-09-23,53283.43,38557.49,14725.94,2,-0.004034
2025-09-24,53579.05,10064.64,43514.41,5,0.005548
2025-09-25,54227.96,16927.81,37300.15,4,0.012111
2025-09-26,54159.62,7258.21,46901.41,5,-0.00126
2025-09-29,55060.58,14410.1,40650.47,5,0.016635
2025-09-30,54979.68,19857.95,35121.73,4,-0.001469
2025-10-09,55825.47,19341.96,36483.51,4,0.015384
2025-10-10,56836.07,20812.55,36023.52,4,0.018103
2025-10-13,57337.38,14944.4,42392.98,5,0.00882
2025-10-14,57043.7,37853.73,19189.97,2,-0.005122
2025-10-15,57934.82,22123.34,35811.48,4,0.015622
2025-10-16,58320.49,28604.06,29716.43,3,0.006657
2025-10-17,58467.95,21600.27,36867.68,4,0.002528
2025-10-20,57805.09,12017.11,45787.97,5,-0.011337
2025-10-21,57465.03,10745.35,46719.68,5,-0.005883
2025-10-22,57946.22,23547.66,34398.56,4,0.008374
2025-10-23,57246.09,19185.11,38060.98,4,-0.012082
2025-10-24,56561.19,13433.18,43128.0,5,-0.011964
2025-10-27,56316.8,17755.24,38561.56,4,-0.004321
2025-10-28,56111.53,50652.64,5458.88,1,-0.003645
2025-10-29,55598.31,14694.77,40903.54,5,-0.009146
2025-10-30,54774.28,21178.08,33596.21,4,-0.014821
2025-10-31,53801.01,13075.51,40725.5,5,-0.017769
2025-11-03,55683.82,16987.24,38696.58,4,0.034996
2025-11-04,55625.74,37184.31,18441.43,2,-0.001043
2025-11-05,57469.84,21670.32,35799.52,4,0.033152
2025-11-06,58046.71,31598.94,26447.77,3,0.010038
2025-11-07,58284.58,22818.48,35466.1,4,0.004098
2025-11-10,57744.28,11543.2,46201.09,5,-0.00927
2025-11-11,57754.02,28753.45,29000.58,3,0.000169
2025-11-12,57227.17,23336.38,33890.8,4,-0.009122
2025-11-13,58534.15,22042.99,36491.15,4,0.022838
2025-11-14,58832.58,30249.36,28583.22,3,0.005098
2025-11-17,59756.05,22385.28,37370.77,4,0.015696
2025-11-18,60642.42,24750.43,35891.99,4,0.014833
2025-11-19,59269.64,12939.05,46330.59,5,-0.022637
2025-11-20,57883.95,20571.36,37312.59,4,-0.02338
2025-11-21,55866.38,14181.99,41684.39,5,-0.034855
2025-11-24,56602.97,22982.75,33620.23,4,0.013185
2025-11-25,56803.13,20918.39,35884.74,4,0.003536
2025-11-26,57190.25,12293.09,44897.16,5,0.006815
2025-11-27,58677.63,13587.52,45090.11,5,0.026008
2025-11-28,58432.69,19445.33,38987.36,4,-0.004174
2025-12-01,58202.23,29658.02,28544.21,3,-0.003944
2025-12-02,56842.14,10865.37,45976.78,5,-0.023368
2025-12-03,55685.71,12116.16,43569.55,5,-0.020345
2025-12-04,54806.92,27125.28,27681.63,3,-0.015781
2025-12-05,56154.51,19752.63,36401.88,4,0.024588
2025-12-08,56367.89,19113.07,37254.82,4,0.0038
2025-12-09,56510.14,20657.71,35852.42,4,0.002524
2025-12-10,57153.52,22168.4,34985.12,4,0.011385
2025-12-11,55495.22,9394.78,46100.44,5,-0.029015
2025-12-12,56661.61,18331.69,38329.92,4,0.021018
2025-12-15,56729.0,16383.74,40345.26,5,0.001189
2025-12-16,57671.25,38603.92,19067.33,2,0.01661
