,0
CORD5,19.47206002473831
KLOW,19.055339951068163
WVMA60,16.474531952291727
BETA60,16.31337844580412
CNTD60,13.457618083804846
RESI5,13.104728534817696
KLEN,12.381533022969961
CORD60,9.475644707679749
ROC20,9.221442073583603
ROC10,8.709076773375273
KSFT,8.683877740055323
IMIN10,8.286173552274704
QTLU5,7.992762729525566
KSFT2,7.957262687385082
IMIN60,7.743702337145805
RSV5,6.00428457185626
ROC30,5.604359939694405
OPEN0,5.389808397740126
KMID,5.160684149712324
RANK30,5.11270397901535
CORD30,4.990299880504608
STD5,4.9337210692465305
RSV10,4.831001818180084
RANK60,4.763874068856239
IMXD5,4.674627602100372
IMIN20,4.650297500193119
IMXD60,4.6391648799180984
BETA30,4.577187903225422
RESI10,4.4184649884700775
IMAX30,4.203300982713699
VSTD5,4.166820898652077
VMA20,3.944620192050934
RANK20,3.9252654388546944
MAX30,3.894604917615652
MIN60,3.53855961561203
QTLD5,3.4729327857494354
WVMA30,3.3869039565324783
VMA10,3.325262013822794
CNTP30,3.300417020916939
BETA10,3.285925477743149
CORD10,3.112806361168623
KMID2,3.027172304689884
BETA20,3.0093670785427094
MAX60,3.0075130984187126
ROC5,2.963003695011139
BETA5,2.6526889875531197
RESI20,2.5913018956780434
MA5,2.5233831219375134
IMIN5,2.520008012652397
STD10,2.4917455092072487
KLOW2,2.399149402976036
HIGH0,2.3961459696292877
MIN10,2.3195104002952576
IMXD30,2.2421123310923576
STD60,2.1465649604797363
IMAX20,2.142943400889635
IMIN30,2.1407509855926037
LOW0,2.13141018897295
QTLD10,1.9348221868276596
RSQR5,1.926316887140274
IMXD10,1.9117632061243057
RSV60,1.908824697136879
VSUMP5,1.8890876024961472
MAX20,1.878955602645874
QTLU10,1.8234306871891022
RANK10,1.815148651599884
MAX5,1.7948209717869759
VMA5,1.7763923183083534
VSUMN5,1.7674206905066967
MIN5,1.7623779252171516
dragon_count_20,1.7209637947380543
RSV20,1.5978050082921982
VMA60,1.5707803890109062
IMAX60,1.557964526116848
ROC60,1.554278627038002
CNTD30,1.5116680935025215
RESI60,1.4984764009714127
RSQR10,1.381697490811348
CNTN10,1.2155520170927048
QTLD20,1.191797986626625
CNTP20,1.15846499055624
MIN30,1.1357850134372711
CNTP10,1.1135770231485367
MA10,1.0710299164056778
CNTN30,1.062057115137577
VSUMP60,1.0587453097105026
MIN20,1.0536422058939934
IMXD20,1.0286988094449043
CNTD20,0.995781697332859
MAX10,0.9697881117463112
QTLU30,0.9218063950538635
VSUMD60,0.9065210074186325
SUMD60,0.902300201356411
VMA30,0.8650583922863007
SUMD30,0.861574612557888
RSV30,0.8238800019025803
SUMP60,0.7901657149195671
VSTD60,0.7622352838516235
CNTN60,0.7344360053539276
KUP,0.721554197371006
CORR5,0.6673518940806389
SUMD10,0.6358085125684738
STD30,0.6347712054848671
RESI30,0.6277766972780228
CNTN20,0.610944002866745
RSQR30,0.595135897397995
SUMN60,0.54653400182724
QTLD30,0.5291004925966263
SUMP30,0.5221753045916557
VSUMD5,0.49025528877973557
CNTP60,0.48076799511909485
CORD20,0.4762376919388771
VSUMN60,0.45721131563186646
QTLU60,0.43854299932718277
MA20,0.4079994931817055
SUMP5,0.39765799790620804
SUMN10,0.39190199971199036
WVMA5,0.3629379868507385
CNTN5,0.35523799806833267
VSTD20,0.34576980397105217
SUMD20,0.3219070993363857
VSTD10,0.31711210310459137
VSUMP20,0.3087628036737442
CORR20,0.303731095045805
CNTD5,0.3030520975589752
KUP2,0.30129610002040863
VSTD30,0.2961059957742691
QTLU20,0.2695702016353607
STD20,0.2669757008552551
RSQR60,0.2656779959797859
RANK5,0.2528393007814884
IMAX5,0.23258550465106964
SUMP20,0.22381910681724548
RSQR20,0.22293369472026825
WVMA10,0.20696499943733215
CNTD10,0.20526599884033203
VSUMD20,0.20221040397882462
CORR10,0.19961489737033844
MA30,0.15737700462341309
CORR60,0.15565399825572968
QTLD60,0.15471979975700378
VSUMD30,0.15406859666109085
IMAX10,0.12681899964809418
MA60,0.11466600000858307
SUMP10,0.11170700192451477
SUMN30,0.09727759659290314
CORR30,0.08980689942836761
SUMN5,0.08544950187206268
SUMN20,0.07636140286922455
VSUMN30,0.07504560053348541
margin_bal_chg,0.07451699674129486
CNTP5,0.060263801366090775
VWAP0,0.0
SUMD5,0.0
WVMA20,0.0
VSUMP30,0.0
VSUMN20,0.0
VSUMN10,0.0
VSUMP10,0.0
VSUMD10,0.0
