,0
策略名称,ALSTM选股 + PPO择时
回测区间,2022-01-04 ~ 2026-07-31
交易日数,1108
初始资金,500000
期末资金,721831.81
总收益率,44.37%
年化收益率,8.72%
最大回撤,14.34%
年化波动率,8.65%
Sharpe,1.008
Calmar,0.608
月度胜率,27/54 (50%)
平均仓位,29.9%
回撤是否达标,✓ 达标
