date,daily_return,exposure
2022-01-04,-0.014569856,0.45581677556037903
2022-01-05,0.0035651922,0.22767825424671173
2022-01-06,-0.010122787,0.3265148401260376
2022-01-07,0.001253534,0.2917443811893463
2022-01-10,-0.0057228603,0.3025642931461334
2022-01-11,0.010430841,0.3073808252811432
2022-01-12,-0.0076770545,0.2978615164756775
2022-01-13,0.0032835768,0.3146992325782776
2022-01-14,0.0053458675,0.29690784215927124
2022-01-17,-0.00028647645,0.3536541163921356
2022-01-18,-0.0023804272,0.28546789288520813
2022-01-19,-0.010387207,0.3308887779712677
2022-01-20,-0.0018573524,0.2978725731372833
2022-01-21,0.007916526,0.3306497633457184
2022-01-24,-0.009899201,0.29913565516471863
2022-01-25,0.00018924793,0.27814340591430664
2022-01-26,-0.010759706,0.30703914165496826
2022-01-27,-0.00093511166,0.28853675723075867
2022-01-28,0.00019949596,0.3217967748641968
2022-02-07,0.0017566445,0.31456777453422546
2022-02-08,0.008294638,0.3143875300884247
2022-02-09,-0.004058078,0.29825830459594727
2022-02-10,-0.011703209,0.34495362639427185
2022-02-11,0.00254016,0.2738129496574402
2022-02-14,0.010407746,0.3258795142173767
2022-02-15,0.0013520133,0.29169586300849915
2022-02-16,0.00038843515,0.30219194293022156
2022-02-17,0.0027084253,0.29748281836509705
2022-02-18,0.0044565066,0.32004454731941223
2022-02-21,-0.0008694531,0.2896682322025299
2022-02-22,0.013976929,0.35536107420921326
2022-02-23,-0.0053002224,0.28141042590141296
2022-02-24,0.008204928,0.35797467827796936
2022-02-25,0.0011114432,0.27650153636932373
2022-02-28,-0.00026373425,0.36951756477355957
2022-03-01,-0.0012416727,0.2716113328933716
2022-03-02,-0.0077010305,0.30112066864967346
2022-03-03,-0.0047239834,0.30275753140449524
2022-03-04,-0.00799238,0.3022288382053375
2022-03-07,-0.010872931,0.29523441195487976
2022-03-08,-0.00095453736,0.3460756838321686
2022-03-09,0.010033431,0.2929006516933441
2022-03-10,0.00083925884,0.2947685718536377
2022-03-11,-0.009280163,0.33311402797698975
2022-03-14,-0.011804123,0.3099702000617981
2022-03-15,0.01265355,0.3562874495983124
2022-03-16,0.0086967815,0.2686474621295929
2022-03-17,0.0033709896,0.3091238737106323
2022-03-18,0.00434928,0.34112128615379333
2022-03-21,0.00022519185,0.29318293929100037
2022-03-22,0.0062311594,0.3148169219493866
2022-03-23,-0.0052712564,0.32167762517929077
2022-03-24,-0.000533214,0.3082085847854614
2022-03-25,-0.00047225947,0.30228835344314575
2022-03-28,-0.00079137716,0.30780115723609924
2022-03-29,0.007378276,0.3050139844417572
2022-03-30,-0.007423327,0.2855270206928253
2022-03-31,0.0002763985,0.31485509872436523
2022-04-01,-0.00063433504,0.2863316833972931
2022-04-06,-0.0075693,0.28915128111839294
2022-04-07,-0.007473857,0.33066806197166443
2022-04-08,-0.011527126,0.29628390073776245
2022-04-11,0.0018865515,0.30519235134124756
2022-04-12,-0.009219679,0.36108702421188354
2022-04-13,0.0013395493,0.27222710847854614
2022-04-14,0.0011723471,0.33953991532325745
2022-04-15,0.007394657,0.2929689586162567
2022-04-18,0.0026652468,0.375664621591568
2022-04-19,-0.0043210727,0.2862509489059448
2022-04-20,-0.016648147,0.3186434209346771
2022-04-21,-0.005850157,0.28222641348838806
2022-04-22,-0.021723926,0.3248908221721649
2022-04-25,-0.0024739685,0.27536624670028687
2022-04-26,0.01705513,0.38699617981910706
2022-04-27,-0.004676727,0.34124404191970825
2022-04-28,0.014068551,0.3246766924858093
2022-04-29,0.009283513,0.3025723397731781
2022-05-05,-0.00067366613,0.37468409538269043
2022-05-06,0.004310586,0.30034300684928894
2022-05-09,0.011246799,0.4084916412830353
2022-05-10,0.0035369685,0.30733758211135864
2022-05-11,0.003952796,0.38791587948799133
2022-05-12,-0.0009530951,0.3679172098636627
2022-05-13,0.0058261566,0.2887725532054901
2022-05-16,0.003310266,0.32598546147346497
2022-05-17,0.0019960322,0.34484052658081055
2022-05-18,0.00410863,0.37740084528923035
2022-05-19,0.005413162,0.30785176157951355
2022-05-20,0.0067680017,0.3864164352416992
2022-05-23,-0.012457818,0.31009647250175476
2022-05-24,0.005345182,0.3287264406681061
2022-05-25,0.0014722376,0.30758312344551086
2022-05-26,-0.0018702341,0.3029862940311432
2022-05-27,0.0021561952,0.3080756664276123
2022-05-30,0.0061496096,0.31672149896621704
2022-05-31,-0.000111158624,0.29211530089378357
2022-06-01,0.003223512,0.29797083139419556
2022-06-02,0.00041795845,0.29608991742134094
2022-06-06,0.0016827078,0.29079508781433105
2022-06-07,-0.0010202687,0.2944163382053375
2022-06-08,-0.0068136617,0.2984982132911682
2022-06-09,0.0053613773,0.2971406579017639
2022-06-10,0.0014639253,0.2965534031391144
2022-06-13,-0.003474649,0.30509892106056213
2022-06-14,0.00096198655,0.2855983078479767
2022-06-15,0.0028830974,0.2916094958782196
2022-06-16,0.0036395798,0.2883918583393097
2022-06-17,-0.00085832155,0.2898557484149933
2022-06-20,-0.0015899536,0.2892555594444275
2022-06-21,-0.005316351,0.3152126371860504
2022-06-22,0.0076778773,0.2951277196407318
2022-06-23,0.0043337257,0.2991769015789032
2022-06-24,0.0023649898,0.2948952317237854
2022-06-27,0.0015588438,0.3054148256778717
2022-06-28,-0.005197824,0.3190525472164154
2022-06-29,0.0042007025,0.27612754702568054
2022-06-30,1.9259862e-05,0.3402768075466156
2022-07-01,0.0013936664,0.2841643989086151
2022-07-04,-0.0037161529,0.2998928427696228
2022-07-05,-0.0014252049,0.3050820827484131
2022-07-06,-0.0002357381,0.29744961857795715
2022-07-07,0.0015986384,0.297467440366745
