date,equity
2022-01-04,500000.0
2022-01-05,491833.59375
2022-01-06,493063.625
2022-01-07,487845.03125
2022-01-10,488401.1875
2022-01-11,485291.125
2022-01-12,490745.375
2022-01-13,487536.5
2022-01-14,489047.5
2022-01-17,492625.53125
2022-01-18,493858.71875
2022-01-19,492714.28125
2022-01-20,489316.1875
2022-01-21,488795.34375
2022-01-24,492274.0
2022-01-25,487313.9375
2022-01-26,486781.15625
2022-01-27,481834.9375
2022-01-28,481817.65625
2022-02-07,481897.125
2022-02-08,483718.21875
2022-02-09,488949.25
2022-02-10,487148.40625
2022-02-11,483588.21875
2022-02-14,484042.84375
2022-02-15,490160.25
2022-02-16,490780.3125
2022-02-17,492448.03125
2022-02-18,493388.96875
2022-02-21,497619.84375
2022-02-22,498195.65625
2022-02-23,504377.125
2022-02-24,502485.96875
2022-02-25,507460.78125
2022-02-28,508607.03125
2022-03-01,509719.40625
2022-03-02,508628.15625
2022-03-03,506640.4375
2022-03-04,504377.5
2022-03-07,499240.09375
2022-03-08,495180.25
2022-03-09,495027.1875
2022-03-10,499960.03125
2022-03-11,500215.03125
2022-03-14,497539.96875
2022-03-15,492216.59375
2022-03-16,498845.59375
2022-03-17,502448.28125
2022-03-18,503992.375
2022-03-21,505332.15625
2022-03-22,506695.5625
2022-03-23,509141.84375
2022-03-24,507116.5625
2022-03-25,505837.46875
2022-03-28,505287.375
2022-03-29,502920.375
2022-03-30,507758.40625
2022-03-31,504409.9375
2022-04-01,503030.15625
2022-04-06,501850.28125
2022-04-07,499069.03125
2022-04-08,497093.25
2022-04-11,492062.78125
2022-04-12,493234.71875
2022-04-13,489583.25
2022-04-14,490213.5
2022-04-15,490676.78125
2022-04-18,495550.21875
2022-04-19,495719.40625
2022-04-20,492704.1875
2022-04-21,484686.90625
2022-04-22,481574.21875
2022-04-25,471783.84375
2022-04-26,471125.09375
2022-04-27,477765.625
2022-04-28,476907.90625
2022-04-29,483166.03125
2022-05-05,486154.71875
2022-05-06,485660.90625
2022-05-09,487965.3125
2022-05-10,491510.75
2022-05-11,493369.375
2022-05-12,495138.09375
2022-05-13,494476.21875
2022-05-16,495525.71875
2022-05-17,497569.15625
2022-05-18,499645.96875
2022-05-19,502602.3125
2022-05-20,504386.71875
2022-05-23,507498.25
2022-05-24,500945.71875
2022-05-25,504155.25
2022-05-26,505647.375
2022-05-27,505095.34375
2022-05-30,506872.375
2022-05-31,510021.125
2022-06-01,509338.8125
2022-06-02,511925.875
2022-06-06,513054.28125
2022-06-07,512144.71875
2022-06-08,511971.0625
2022-06-09,509109.96875
2022-06-10,512244.71875
2022-06-13,513185.1875
2022-06-14,510720.40625
2022-06-15,511026.0625
2022-06-16,513734.78125
2022-06-17,514539.96875
2022-06-20,514099.4375
2022-06-21,513000.75
2022-06-22,511800.15625
2022-06-23,514879.0625
2022-06-24,516498.875
2022-06-27,517951.0625
2022-06-28,519920.28125
2022-06-29,518525.15625
2022-06-30,520524.125
2022-07-01,521266.25
2022-07-04,525189.875
2022-07-05,523964.34375
2022-07-06,523935.9375
2022-07-07,524406.375
2022-07-08,524908.25
2022-07-11,521582.875
2022-07-12,519089.625
2022-07-13,520826.625
2022-07-14,525121.3125
2022-07-15,524396.4375
2022-07-18,524931.0625
2022-07-19,525492.4375
2022-07-20,527562.375
2022-07-21,527849.8125
2022-07-22,526076.875
2022-07-25,526482.875
2022-07-26,527405.4375
2022-07-27,531166.875
2022-07-28,533484.3125
2022-07-29,532861.625
2022-08-01,536317.125
2022-08-02,532039.8125
2022-08-03,532520.5
2022-08-04,534344.0
2022-08-05,536102.4375
2022-08-08,537783.9375
2022-08-09,536743.0
2022-08-10,537085.875
2022-08-11,538468.4375
2022-08-12,537275.1875
2022-08-15,536539.5
2022-08-16,537405.625
2022-08-17,537472.1875
2022-08-18,538009.75
2022-08-19,537111.0
2022-08-22,538570.125
2022-08-23,539154.0625
2022-08-24,531310.875
2022-08-25,531141.9375
2022-08-26,529420.75
2022-08-29,530168.625
2022-08-30,527586.875
2022-08-31,520314.28125
2022-09-01,519145.0
2022-09-02,522115.40625
2022-09-05,523053.40625
2022-09-06,528529.0625
2022-09-07,531815.625
2022-09-08,529850.6875
2022-09-09,530381.5625
2022-09-13,530949.0
2022-09-14,529228.1875
2022-09-15,522052.5
2022-09-16,520289.53125
2022-09-19,517974.125
2022-09-20,522329.5625
2022-09-21,520623.21875
2022-09-22,521939.09375
2022-09-23,517878.6875
2022-09-26,517758.78125
2022-09-27,520692.03125
2022-09-28,516616.59375
2022-09-29,517007.78125
2022-09-30,513996.125
2022-10-10,511122.75
2022-10-11,511958.875
2022-10-12,519060.8125
2022-10-13,519356.875
2022-10-14,522587.53125
2022-10-17,527144.6875
2022-10-18,528237.25
2022-10-19,526895.5625
2022-10-20,526476.75
2022-10-21,526408.5625
2022-10-24,524335.875
2022-10-25,524409.5
2022-10-26,527891.375
2022-10-27,527840.25
2022-10-28,521044.90625
2022-10-31,520656.21875
2022-11-01,526129.5
2022-11-02,530661.5
2022-11-03,532544.9375
2022-11-04,538055.4375
2022-11-07,538740.3125
2022-11-08,538539.0625
2022-11-09,538509.375
2022-11-10,537742.875
2022-11-11,539883.5
2022-11-14,538326.0625
2022-11-15,542207.4375
2022-11-16,538588.6875
2022-11-17,539058.3125
2022-11-18,539436.875
2022-11-21,541002.625
2022-11-22,539653.0
2022-11-23,539804.375
2022-11-24,539233.9375
2022-11-25,536584.375
2022-11-28,535795.25
2022-11-29,537562.1875
2022-11-30,537168.875
2022-12-01,538897.125
2022-12-02,539670.375
2022-12-05,539866.125
2022-12-06,540144.6875
2022-12-07,540039.3125
2022-12-08,539675.0
2022-12-09,540251.25
2022-12-12,540073.625
2022-12-13,537326.75
2022-12-14,537498.625
2022-12-15,540255.6875
2022-12-16,538060.75
2022-12-19,536225.25
2022-12-20,534966.5
2022-12-21,531596.0
2022-12-22,529492.3125
2022-12-23,530161.6875
2022-12-26,531915.0
2022-12-27,531193.125
2022-12-28,529727.375
2022-12-29,528847.25
2022-12-30,528648.5
2023-01-03,533145.6875
2023-01-04,532152.5
2023-01-05,532075.875
2023-01-06,531665.4375
2023-01-09,531304.5625
2023-01-10,532010.4375
2023-01-11,531783.3125
2023-01-12,532141.0625
2023-01-13,531997.375
2023-01-16,533464.1875
2023-01-17,534252.75
2023-01-18,534276.3125
2023-01-19,535887.25
2023-01-20,536864.125
2023-01-30,537637.625
2023-01-31,537537.1875
2023-02-01,541110.625
2023-02-02,541900.3125
2023-02-03,542562.6875
2023-02-06,540986.375
2023-02-07,541738.125
2023-02-08,540835.6875
2023-02-09,543222.5
2023-02-10,543837.9375
2023-02-13,545302.0
2023-02-14,545788.625
2023-02-15,546235.5
2023-02-16,544338.5625
2023-02-17,542677.25
2023-02-20,546662.25
2023-02-21,545900.875
2023-02-22,546508.625
2023-02-23,546144.8125
2023-02-24,545036.25
2023-02-27,544542.9375
2023-02-28,546295.1875
2023-03-01,549331.0
2023-03-02,548217.0625
2023-03-03,546903.375
2023-03-06,549575.0
2023-03-07,546868.5
2023-03-08,548346.3125
2023-03-09,548800.875
2023-03-10,548040.25
2023-03-13,547767.5
2023-03-14,547244.0625
2023-03-15,547506.5
2023-03-16,544141.125
2023-03-17,542955.0625
2023-03-20,544335.0625
2023-03-21,547293.8125
2023-03-22,547735.9375
2023-03-23,547253.4375
2023-03-24,547944.4375
2023-03-27,549634.875
2023-03-28,547697.375
2023-03-29,547904.625
2023-03-30,549208.5
2023-03-31,549524.75
2023-04-03,550166.9375
2023-04-04,550205.5
2023-04-06,551004.625
2023-04-07,552958.0625
2023-04-10,552294.25
2023-04-11,552402.9375
2023-04-12,554045.875
2023-04-13,552960.375
2023-04-14,553071.375
2023-04-17,553320.5625
2023-04-18,554334.5
2023-04-19,553506.875
2023-04-20,552299.375
2023-04-21,547000.8125
2023-04-24,545509.3125
2023-04-25,542228.125
2023-04-26,540399.625
2023-04-27,540418.3125
2023-04-28,542772.0
2023-05-04,539869.875
2023-05-05,539514.6875
2023-05-08,540663.0625
2023-05-09,539541.6875
2023-05-10,539381.375
2023-05-11,538310.8125
2023-05-12,535799.9375
2023-05-15,537894.4375
2023-05-16,536419.5
2023-05-17,537120.625
2023-05-18,539957.125
2023-05-19,539560.625
2023-05-22,537734.9375
2023-05-23,536909.0
2023-05-24,536979.9375
2023-05-25,535108.75
2023-05-26,538520.8125
2023-05-29,539579.375
2023-05-30,541048.6875
2023-05-31,541216.0
2023-06-01,542431.5
2023-06-02,543270.0625
2023-06-05,543466.1875
2023-06-06,539327.25
2023-06-07,541457.3125
2023-06-08,539803.4375
2023-06-09,540925.625
2023-06-12,544495.875
2023-06-13,545893.75
2023-06-14,546837.375
2023-06-15,547697.0
2023-06-16,550396.6875
2023-06-19,549213.0625
2023-06-20,549769.8125
2023-06-21,546742.625
2023-06-26,545882.625
2023-06-27,547792.8125
2023-06-28,545868.5625
2023-06-29,546842.3125
2023-06-30,548661.625
2023-07-03,548277.0
2023-07-04,548216.6875
2023-07-05,546439.375
2023-07-06,546145.75
2023-07-07,545466.625
2023-07-10,546398.25
2023-07-11,546672.1875
2023-07-12,544769.875
2023-07-13,547608.75
2023-07-14,550398.25
2023-07-17,549676.125
2023-07-18,547654.6875
2023-07-19,546992.125
2023-07-20,544114.75
2023-07-21,544309.4375
2023-07-24,544542.3125
2023-07-25,546591.625
2023-07-26,544670.8125
2023-07-27,543762.0
2023-07-28,545856.0625
2023-07-31,547797.9375
2023-08-01,548249.1875
2023-08-02,547314.625
2023-08-03,547299.0
2023-08-04,546941.25
2023-08-07,544894.125
2023-08-08,544034.375
2023-08-09,541609.375
2023-08-10,541077.3125
2023-08-11,538246.1875
2023-08-14,541471.5
2023-08-15,539396.625
2023-08-16,535738.3125
2023-08-17,537070.8125
2023-08-18,532917.125
2023-08-21,531998.5625
2023-08-22,535718.375
2023-08-23,531912.5
2023-08-24,532042.5625
2023-08-25,527836.4375
2023-08-28,528046.125
2023-08-29,532564.3125
2023-08-30,537683.0625
2023-08-31,537132.875
2023-09-01,536362.4375
2023-09-04,539028.25
2023-09-05,537300.375
2023-09-06,538217.9375
2023-09-07,535073.0625
2023-09-08,535715.5
2023-09-11,537464.4375
2023-09-12,536740.6875
2023-09-13,534736.8125
2023-09-14,535049.8125
2023-09-15,535280.0625
2023-09-18,533491.9375
2023-09-19,532418.375
2023-09-20,530394.1875
2023-09-21,529685.5625
2023-09-22,533387.375
2023-09-25,531802.6875
2023-09-26,533204.0625
2023-09-27,535371.625
2023-09-28,535462.6875
2023-10-09,535181.4375
2023-10-10,536755.6875
2023-10-11,537511.0625
2023-10-12,538814.6875
2023-10-13,538708.3125
2023-10-16,535879.3125
2023-10-17,535809.0
2023-10-18,532355.375
2023-10-19,532104.6875
2023-10-20,527824.0625
2023-10-23,524021.875
2023-10-24,525072.25
2023-10-25,526137.3125
2023-10-26,526434.6875
2023-10-27,528722.6875
2023-10-30,530542.125
2023-10-31,530918.5
2023-11-01,530862.5625
2023-11-02,528487.0
2023-11-03,532356.9375
2023-11-06,537716.5625
2023-11-07,538576.25
2023-11-08,539467.25
2023-11-09,539149.3125
2023-11-10,538179.5625
2023-11-13,539893.0
2023-11-14,542360.375
2023-11-15,544045.375
2023-11-16,542491.25
2023-11-17,545301.6875
2023-11-20,547179.5625
2023-11-21,546163.5
2023-11-22,544837.0625
2023-11-23,546449.25
2023-11-24,544258.6875
2023-11-27,543717.375
2023-11-28,544001.4375
2023-11-29,544230.8125
2023-11-30,544408.8125
2023-12-01,545457.3125
2023-12-04,545944.375
2023-12-05,540585.25
2023-12-06,541543.875
2023-12-07,540071.875
2023-12-08,540821.0625
2023-12-11,543545.8125
2023-12-12,544123.3125
2023-12-13,542725.9375
2023-12-14,541092.4375
2023-12-15,540827.3125
2023-12-18,537871.0625
2023-12-19,538450.3125
2023-12-20,535606.875
2023-12-21,537064.8125
2023-12-22,533844.3125
2023-12-25,534485.25
2023-12-26,531487.0625
2023-12-27,532712.0625
2023-12-28,534107.1875
2023-12-29,537505.4375
2024-01-02,536273.75
2024-01-03,535036.625
2024-01-04,534129.6875
2024-01-05,531310.375
2024-01-08,527908.4375
2024-01-09,529133.875
2024-01-10,527578.5
2024-01-11,531882.0625
2024-01-12,529390.125
2024-01-15,528755.25
2024-01-16,527473.125
2024-01-17,521782.375
2024-01-18,522645.84375
2024-01-19,519337.3125
2024-01-22,507633.46875
2024-01-23,508767.03125
2024-01-24,510275.0625
2024-01-25,515369.25
2024-01-26,514203.96875
2024-01-29,510927.03125
2024-01-30,505636.3125
2024-01-31,498263.0625
2024-02-01,497718.09375
2024-02-02,489007.9375
2024-02-05,476960.3125
2024-02-06,487816.5
2024-02-07,495536.84375
2024-02-08,506003.25
2024-02-19,510484.75
2024-02-20,513612.46875
2024-02-21,515989.84375
2024-02-22,519073.1875
2024-02-23,524654.875
2024-02-26,526531.4375
2024-02-27,532232.0625
2024-02-28,523607.96875
2024-02-29,527419.0
2024-03-01,531422.375
2024-03-04,531599.875
2024-03-05,529116.625
2024-03-06,530673.25
2024-03-07,528199.0
2024-03-08,531034.6875
2024-03-11,534669.0625
2024-03-12,537508.5
2024-03-13,538561.6875
2024-03-14,536560.1875
2024-03-15,538774.3125
2024-03-18,541766.4375
2024-03-19,540175.0625
2024-03-20,543111.6875
2024-03-21,543422.75
2024-03-22,542368.125
2024-03-25,537883.0
2024-03-26,536547.0
2024-03-27,531548.375
2024-03-28,533989.4375
2024-03-29,534334.875
2024-04-01,536663.375
2024-04-02,534632.5
2024-04-03,533105.8125
2024-04-08,529447.375
2024-04-09,531865.4375
2024-04-10,526914.6875
2024-04-11,525866.0
2024-04-12,524296.8125
2024-04-15,517504.1875
2024-04-16,509027.8125
2024-04-17,517265.03125
2024-04-18,516081.28125
2024-04-19,513823.375
2024-04-22,512860.71875
2024-04-23,513524.71875
2024-04-24,516365.78125
2024-04-25,516121.96875
2024-04-26,519749.875
2024-04-29,524341.8125
2024-04-30,523242.4375
2024-05-06,527079.25
2024-05-07,527396.8125
2024-05-08,523713.4375
2024-05-09,527953.3125
2024-05-10,525087.4375
2024-05-13,520050.4375
2024-05-14,521788.625
2024-05-15,518444.59375
2024-05-16,518473.28125
2024-05-17,521735.59375
2024-05-20,522483.53125
2024-05-21,521400.4375
2024-05-22,521897.53125
2024-05-23,517218.46875
2024-05-24,514345.0625
2024-05-27,514895.125
2024-05-28,513762.4375
2024-05-29,513881.96875
2024-05-30,512684.0
2024-05-31,513365.53125
2024-06-03,511574.34375
2024-06-04,510565.9375
2024-06-05,507697.125
2024-06-06,504573.09375
2024-06-07,505741.03125
2024-06-11,506852.21875
2024-06-12,508543.125
2024-06-13,510028.34375
2024-06-14,510849.40625
2024-06-17,510475.46875
2024-06-18,512215.53125
2024-06-19,510677.5625
2024-06-20,506782.0625
2024-06-21,506170.875
2024-06-24,499194.125
2024-06-25,498416.0625
2024-06-26,503500.84375
2024-06-27,497608.4375
2024-06-28,497034.59375
2024-07-01,495634.5
2024-07-02,493550.59375
2024-07-03,493543.4375
2024-07-04,489201.875
2024-07-05,491283.40625
2024-07-08,485933.125
2024-07-09,489833.1875
2024-07-10,489549.5625
2024-07-11,493862.875
2024-07-12,493478.21875
2024-07-15,490667.0625
2024-07-16,491722.53125
2024-07-17,491840.25
2024-07-18,491760.0625
2024-07-19,492070.6875
2024-07-22,493509.46875
2024-07-23,487458.4375
2024-07-24,485423.09375
2024-07-25,484614.9375
2024-07-26,487030.25
2024-07-29,485498.09375
2024-07-30,486127.46875
2024-07-31,492531.625
2024-08-01,491987.1875
2024-08-02,490442.15625
2024-08-05,485892.5
2024-08-06,489869.625
2024-08-07,490762.0
2024-08-08,489376.78125
2024-08-09,489031.96875
2024-08-12,488373.78125
2024-08-13,488484.4375
2024-08-14,486796.6875
2024-08-15,487087.9375
2024-08-16,485176.40625
2024-08-19,484247.34375
2024-08-20,482253.03125
2024-08-21,482292.4375
2024-08-22,480862.78125
2024-08-23,481126.6875
2024-08-26,482250.59375
2024-08-27,481924.96875
2024-08-28,482955.78125
2024-08-29,486206.96875
2024-08-30,489938.3125
2024-09-02,486610.6875
2024-09-03,489018.71875
2024-09-04,488771.71875
2024-09-05,490252.71875
2024-09-06,486263.84375
2024-09-09,485212.71875
2024-09-10,486296.65625
2024-09-11,487418.25
2024-09-12,485484.59375
2024-09-13,482016.8125
2024-09-18,481226.3125
2024-09-19,483411.3125
2024-09-20,482383.0625
2024-09-23,483522.875
2024-09-24,488710.96875
2024-09-25,490114.15625
2024-09-26,497323.03125
2024-09-27,502631.0
2024-09-30,514554.28125
2024-10-08,523058.21875
2024-10-09,523554.75
2024-10-10,524744.3125
2024-10-11,520366.9375
2024-10-14,524134.59375
2024-10-15,521938.75
2024-10-16,522228.5
2024-10-17,520905.21875
2024-10-18,528884.625
2024-10-21,531190.125
2024-10-22,534693.375
2024-10-23,535931.6875
2024-10-24,536169.25
2024-10-25,539734.125
2024-10-28,543015.1875
2024-10-29,542932.8125
2024-10-30,547282.875
2024-10-31,551266.9375
2024-11-01,551232.3125
2024-11-04,556226.125
2024-11-05,565593.1875
2024-11-06,568006.625
2024-11-07,569498.75
2024-11-08,570565.8125
2024-11-11,574419.1875
2024-11-12,574410.1875
2024-11-13,575322.3125
2024-11-14,571044.9375
2024-11-15,568068.375
2024-11-18,561420.0625
2024-11-19,566693.4375
2024-11-20,571067.4375
2024-11-21,571176.0625
2024-11-22,566822.0
2024-11-25,566531.4375
2024-11-26,565540.25
2024-11-27,571736.5625
2024-11-28,570031.1875
2024-11-29,572631.1875
2024-12-02,576408.75
2024-12-03,577157.0625
2024-12-04,575217.0
2024-12-05,576938.0
2024-12-06,579387.0625
2024-12-09,580633.3125
2024-12-10,581477.0625
2024-12-11,584425.25
2024-12-12,586163.1875
2024-12-13,583818.5
2024-12-16,582701.0
2024-12-17,579444.0
2024-12-18,580163.0
2024-12-19,580304.5
2024-12-20,583279.8125
2024-12-23,576016.875
2024-12-24,577420.875
2024-12-25,574134.75
2024-12-26,575434.0625
2024-12-27,575589.25
2024-12-30,574918.9375
2024-12-31,567949.0
2025-01-02,564249.5625
2025-01-03,556068.5
2025-01-06,555204.0
2025-01-07,558549.9375
2025-01-08,559694.9375
2025-01-09,560749.375
2025-01-10,554215.8125
2025-01-13,554969.0625
2025-01-14,564597.0625
2025-01-15,563115.0
2025-01-16,564037.6875
2025-01-17,564037.3125
2025-01-20,565315.4375
2025-01-21,565944.3125
2025-01-22,564207.5
2025-01-23,563095.5
2025-01-24,567366.625
2025-01-27,562601.75
2025-02-05,566055.625
2025-02-06,574872.5625
2025-02-07,579037.375
2025-02-10,581825.625
2025-02-11,581590.125
2025-02-12,586077.125
2025-02-13,586085.125
2025-02-14,588893.0625
2025-02-17,589932.875
2025-02-18,586103.8125
2025-02-19,589314.875
2025-02-20,589878.9375
2025-02-21,593391.0625
2025-02-24,596072.9375
2025-02-25,594479.6875
2025-02-26,596377.875
2025-02-27,596243.875
2025-02-28,591868.0625
2025-03-03,590720.5625
2025-03-04,593280.5
2025-03-05,595344.5
2025-03-06,600005.8125
2025-03-07,599732.9375
2025-03-10,600775.9375
2025-03-11,602954.9375
2025-03-12,601803.0
2025-03-13,601518.75
2025-03-14,604968.3125
2025-03-17,606378.9375
2025-03-18,605714.5625
2025-03-19,605398.0
2025-03-20,604487.5
2025-03-21,603162.3125
2025-03-24,604432.375
2025-03-25,600593.0625
2025-03-26,602299.625
2025-03-27,601957.875
2025-03-28,600382.0
2025-03-31,603227.6875
2025-04-01,604093.1875
2025-04-02,606100.875
2025-04-03,602536.25
2025-04-07,590163.625
2025-04-08,595511.1875
2025-04-09,602686.9375
2025-04-10,609231.25
2025-04-11,613342.1875
2025-04-14,616279.9375
2025-04-15,615135.875
2025-04-16,611532.8125
2025-04-17,611775.8125
2025-04-18,612764.5
2025-04-21,618900.5625
2025-04-22,617895.0625
2025-04-23,621310.125
2025-04-24,618554.1875
2025-04-25,619402.75
2025-04-28,618900.875
2025-04-29,618167.625
2025-04-30,619873.5
2025-05-06,625925.75
2025-05-07,626409.75
2025-05-08,628237.625
2025-05-09,626449.375
2025-05-12,629581.75
2025-05-13,629456.875
2025-05-14,629513.0
2025-05-15,626988.125
2025-05-16,628493.5
2025-05-19,628590.9375
2025-05-20,629416.25
2025-05-21,629668.6875
2025-05-22,627844.625
