datetime,direction,price,volume,commission,reason,t_pnl,effective_cost,symbol,strategy,amount
2025-09-08 10:15:00,卖出,68.76559999999998,1300,116.21386399999996,VWAP上方+模型转弱，T先卖,0.0,72.71999999999998,920368.BSE,IntradayT920368Strategy,89395.27999999997
2025-09-08 14:30:00,买入,68.55425999999999,1300,26.736161399999993,14:30强制回补，记录T失败，不留隔夜裸卖仓,131.79197459999065,72.66931077899999,920368.BSE,IntradayT920368Strategy,89120.53799999999
2025-09-09 10:15:00,卖出,71.30432999999998,1300,120.50431769999996,VWAP上方+模型转弱，T先卖,0.0,72.66931077899999,920368.BSE,IntradayT920368Strategy,92695.62899999997
2025-09-09 14:30:00,买入,69.21458999999997,1300,26.993690099999984,14:30强制回补，记录T失败，不留隔夜裸卖仓,2569.163992200008,71.68117078199998,920368.BSE,IntradayT920368Strategy,89978.96699999996
2025-09-10 10:15:00,卖出,67.48623999999997,1300,114.05174559999993,VWAP上方+模型转弱，T先卖,0.0,71.68117078199998,920368.BSE,IntradayT920368Strategy,87732.11199999995
2025-09-10 14:30:00,买入,66.91343999999998,1300,26.096241599999992,14:30强制回补，记录T失败，不留隔夜裸卖仓,604.4920127999827,71.44867385399999,920368.BSE,IntradayT920368Strategy,86987.47199999998
2025-09-11 10:15:00,卖出,66.18688999999999,1300,111.85584409999998,VWAP上方+模型转弱，T先卖,0.0,71.44867385399999,920368.BSE,IntradayT920368Strategy,86042.957
2025-09-11 14:30:00,买入,67.03349999999998,1300,26.14306499999999,14:30强制回补，记录T失败，不留隔夜裸卖仓,-1238.5919090999794,71.92505535749999,920368.BSE,IntradayT920368Strategy,87143.54999999997
2025-09-12 10:15:00,卖出,66.24685999999998,1300,111.95719339999997,VWAP上方+模型转弱，T先卖,0.0,71.92505535749999,920368.BSE,IntradayT920368Strategy,86120.91799999998
2025-09-12 14:30:00,买入,65.81288999999998,1300,25.66702709999999,14:30强制回补，记录T失败，不留隔夜裸卖仓,426.53677950000287,71.76100274999999,920368.BSE,IntradayT920368Strategy,85556.75699999998
2025-09-15 10:15:00,卖出,67.50622999999999,1300,114.08552869999998,VWAP上方+模型转弱，T先卖,0.0,71.76100274999999,920368.BSE,IntradayT920368Strategy,87758.09899999999
2025-09-15 14:30:00,买入,66.77336999999997,1300,26.04161429999999,14:30强制回补，记录T失败，不留隔夜裸卖仓,812.5908570000215,71.44846780499998,920368.BSE,IntradayT920368Strategy,86805.38099999996
2025-09-16 10:15:00,卖出,65.82706999999999,1300,111.24774829999998,VWAP上方+模型转弱，T先卖,0.0,71.44846780499998,920368.BSE,IntradayT920368Strategy,85575.19099999999
2025-09-16 14:30:00,买入,66.31313999999999,1300,25.86212459999999,14:30强制回补，记录T失败，不留隔夜裸卖仓,-769.0008728999974,71.74423737149998,920368.BSE,IntradayT920368Strategy,86207.08199999998
2025-09-18 10:15:00,卖出,66.28683999999998,1300,112.02475959999997,VWAP上方+模型转弱，T先卖,0.0,71.74423737149998,920368.BSE,IntradayT920368Strategy,86172.89199999998
2025-09-18 14:30:00,买入,64.53224999999998,1300,25.16757749999999,14:30强制回补，记录T失败，不留隔夜裸卖仓,2143.77466290001,70.91970865499998,920368.BSE,IntradayT920368Strategy,83891.92499999997
2025-09-19 10:15:00,卖出,64.74761,1300,109.4234609,VWAP上方+模型转弱，T先卖,0.0,70.91970865499998,920368.BSE,IntradayT920368Strategy,84171.893
2025-09-19 14:30:00,买入,64.59227999999999,1300,25.19098919999999,14:30强制回补，记录T失败，不留隔夜裸卖仓,67.31454990000834,70.89381844349998,920368.BSE,IntradayT920368Strategy,83969.96399999998
2025-09-22 10:15:00,卖出,63.50823,1300,107.32890869999999,VWAP上方+模型转弱，T先卖,0.0,70.89381844349998,920368.BSE,IntradayT920368Strategy,82560.699
2025-09-22 14:30:00,买入,63.691829999999996,1300,24.839813699999997,14:30强制回补，记录T失败，不留隔夜裸卖仓,-370.84872239999794,71.03645256749998,920368.BSE,IntradayT920368Strategy,82799.379
2025-09-23 10:14:00,卖出,61.66915,1300,104.22086350000001,底仓风险退出,0.0,71.03645256749998,920368.BSE,IntradayT920368Strategy,80169.895
2025-09-23 10:14:00,卖出,61.66915,1300,104.22086350000001,T仓风险退出,0.0,71.03645256749998,920368.BSE,IntradayT920368Strategy,80169.895
