datetime,equity,base_shares,t_shares,prob_up,drawdown,t_pnl,t_cost
2025-09-08 09:30:00,200000.0,1300,1300,0.41937642746841997,0.0,0.0,72.71999999999998
2025-09-08 09:31:00,197451.99999999997,1300,1300,0.4059182630321645,-0.012740000000000196,0.0,72.71999999999998
2025-09-08 09:32:00,192927.99999999994,1300,1300,0.40655136601570746,-0.03536000000000028,0.0,72.71999999999998
2025-09-08 09:33:00,192407.99999999997,1300,1300,0.44985557137729243,-0.037960000000000105,0.0,72.71999999999998
2025-09-08 09:34:00,194279.99999999997,1300,1300,0.42681002394903705,-0.02860000000000018,0.0,72.71999999999998
2025-09-08 09:35:00,191367.99999999997,1300,1300,0.4215017430289139,-0.0431600000000002,0.0,72.71999999999998
2025-09-08 09:36:00,190847.99999999997,1300,1300,0.4381620709048617,-0.045760000000000134,0.0,72.71999999999998
2025-09-08 09:37:00,192407.99999999997,1300,1300,0.45423483078849525,-0.037960000000000105,0.0,72.71999999999998
2025-09-08 09:38:00,190951.99999999997,1300,1300,0.4118237228854936,-0.04524000000000017,0.0,72.71999999999998
2025-09-08 09:39:00,191887.99999999997,1300,1300,0.4598763574191946,-0.04056000000000015,0.0,72.71999999999998
2025-09-08 09:40:00,191159.99999999997,1300,1300,0.3749334231537266,-0.04420000000000013,0.0,72.71999999999998
2025-09-08 09:41:00,190015.99999999997,1300,1300,0.41152145688361347,-0.049920000000000186,0.0,72.71999999999998
2025-09-08 09:42:00,187311.99999999997,1300,1300,0.5067390642841846,-0.06344000000000016,0.0,72.71999999999998
2025-09-08 09:43:00,186792.0,1300,1300,0.5423995341894287,-0.06603999999999999,0.0,72.71999999999998
2025-09-08 09:44:00,188092.0,1300,1300,0.4428468577895411,-0.05954000000000004,0.0,72.71999999999998
2025-09-08 09:45:00,188819.99999999997,1300,1300,0.47409013407759315,-0.05590000000000017,0.0,72.71999999999998
2025-09-08 09:46:00,188247.99999999997,1300,1300,0.48369127799182854,-0.058760000000000145,0.0,72.71999999999998
2025-09-08 09:47:00,188351.99999999997,1300,1300,0.4856087104610981,-0.05824000000000018,0.0,72.71999999999998
2025-09-08 09:48:00,188507.99999999994,1300,1300,0.4474910295994104,-0.05746000000000029,0.0,72.71999999999998
2025-09-08 09:49:00,188351.99999999997,1300,1300,0.44247434730102564,-0.05824000000000018,0.0,72.71999999999998
2025-09-08 09:50:00,187519.99999999997,1300,1300,0.4621313977441782,-0.06240000000000012,0.0,72.71999999999998
2025-09-08 09:51:00,186947.99999999997,1300,1300,0.5000710110126323,-0.0652600000000001,0.0,72.71999999999998
2025-09-08 09:52:00,186792.0,1300,1300,0.4797015551998795,-0.06603999999999999,0.0,72.71999999999998
2025-09-08 09:53:00,188507.99999999997,1300,1300,0.4572372718763556,-0.05746000000000018,0.0,72.71999999999998
2025-09-08 09:54:00,189599.99999999994,1300,1300,0.4539423486964909,-0.05200000000000027,0.0,72.71999999999998
2025-09-08 09:55:00,189964.0,1300,1300,0.4294411395747174,-0.05018,0.0,72.71999999999998
2025-09-08 09:56:00,189703.99999999997,1300,1300,0.4692226388669723,-0.05148000000000019,0.0,72.71999999999998
2025-09-08 09:57:00,189392.0,1300,1300,0.4608687957342617,-0.053039999999999976,0.0,72.71999999999998
2025-09-08 09:58:00,189651.99999999997,1300,1300,0.4398181361855702,-0.05174000000000012,0.0,72.71999999999998
2025-09-08 09:59:00,190172.0,1300,1300,0.3923095752080724,-0.04913999999999996,0.0,72.71999999999998
2025-09-08 10:00:00,191212.0,1300,1300,0.37111833624255436,-0.04393999999999998,0.0,72.71999999999998
2025-09-08 10:01:00,191107.99999999994,1300,1300,0.4144313887998582,-0.04446000000000028,0.0,72.71999999999998
2025-09-08 10:02:00,190172.0,1300,1300,0.3971975013171441,-0.04913999999999996,0.0,72.71999999999998
2025-09-08 10:03:00,189443.99999999997,1300,1300,0.44553499223964005,-0.05278000000000016,0.0,72.71999999999998
2025-09-08 10:04:00,190067.99999999997,1300,1300,0.4436387683626243,-0.04966000000000015,0.0,72.71999999999998
