因子,周期,IC均值,IC_t(NW),IC_t未修正,ICIR,IC胜率,多空收益,单调,横截面数,结论
低波动,5,0.06668585237102571,9.75910717625928,18.004947686321778,0.3556456988691767,0.6504096761607491,0.0030158712284977765,False,2563,正向有效 · 非单调（仅极端组有效，慎用）
低波动,20,0.09254253071666152,6.971198934506943,24.59921202498481,0.4873281334730389,0.6978021978021978,0.010638351210947554,False,2548,正向有效 · 非单调（仅极端组有效，慎用）
低波动,60,0.11595233231887131,6.798506045259484,37.55481179819748,0.7498973585262014,0.7862838915470495,0.023636980792855797,False,2508,正向有效 · 非单调（仅极端组有效，慎用）
低波动60,5,0.059773573271634524,8.003673180822318,14.748873180030342,0.2936298586460059,0.6349583828775267,0.0026715064778879485,False,2523,正向有效 · 非单调（仅极端组有效，慎用）
低波动60,20,0.08799869931083135,6.055795402554951,21.526731189759257,0.4298474172537025,0.6750398724082934,0.009145820768284477,False,2508,正向有效 · 非单调（仅极端组有效，慎用）
低波动60,60,0.11402039606433804,6.026454522384545,34.628203879882626,0.6970394978526981,0.7722852512155591,0.01941066998695027,True,2468,正向有效 · 单调
EP,5,0.0287858866799425,4.776366699978126,8.934308462031357,0.17579185120353133,0.5629113433991483,0.0010089988641026027,False,2583,正向但过弱（显著却不足以覆盖交易成本）
EP,20,0.040161466149743766,3.200838309146006,11.722830996432887,0.23133161738188104,0.5930685358255452,0.0023287401697156727,False,2568,正向有效 · 非单调（仅极端组有效，慎用）
EP,60,0.04552354520737061,2.331188756128664,14.171848568341318,0.28186293396948314,0.5901898734177216,0.0003116107368007601,False,2528,正向有效 · 非单调（仅极端组有效，慎用）
BP,5,0.03793852874260786,5.710007453979441,10.720608122853847,0.2109391628857641,0.5687185443283004,0.002759989064073186,True,2583,正向有效 · 单调
BP,20,0.06272717177225018,4.721326586954115,17.083251122205056,0.33711107098985243,0.6281152647975078,0.009138922889440614,True,2568,正向有效 · 单调
BP,60,0.09709204983340826,5.039411721079673,30.594998729270657,0.6085018524604618,0.7215189873417721,0.021811869709315552,True,2528,正向有效 · 单调
SP,5,0.026936513540130037,4.823298591858831,9.031392441454457,0.17770207990646017,0.5590398761130468,0.002232656701330266,True,2583,正向但过弱（显著却不足以覆盖交易成本）
SP,20,0.045952298730834916,4.1297871886870725,14.929939176868286,0.2946188491712445,0.5989096573208723,0.00804100743245485,True,2568,正向有效 · 单调
SP,60,0.07345315435654465,4.464089170402338,26.784688684746346,0.5327188546882302,0.6890822784810127,0.02083324789276316,True,2528,正向有效 · 单调
股息率,5,0.027237660811759514,4.596150635411598,8.587588704873188,0.16896977781993391,0.5749128919860628,0.001580570558789142,False,2583,正向但过弱（显著却不足以覆盖交易成本）
股息率,20,0.042707602001426224,3.519989860462536,12.721671899186035,0.25104217037128895,0.6063084112149533,0.00569748222479657,False,2568,正向有效 · 非单调（仅极端组有效，慎用）
股息率,60,0.06063757538038933,3.531842075507152,20.95350010007546,0.41674274083979795,0.6882911392405063,0.01190121156335468,False,2528,正向有效 · 非单调（仅极端组有效，慎用）
换手率,5,-0.08024565298490728,-13.874309460925959,-25.324045544760548,-0.49827704798808997,0.7104142469996129,-0.005157910458083304,False,2583,**反向**有效 · 非单调（仅极端组有效，慎用）
换手率,20,-0.10683260815843665,-9.424606241390377,-32.884831990032346,-0.6489303969237816,0.7562305295950156,-0.01515920760709304,False,2568,**反向**有效 · 非单调（仅极端组有效，慎用）
换手率,60,-0.12781540375844483,-9.52034773199512,-49.64016823510692,-0.9872899356787,0.8465189873417721,-0.03101752221171866,False,2528,**反向**有效 · 非单调（仅极端组有效，慎用）
对数市值,5,-0.028795078690884338,-5.106293142865447,-9.67709421826715,-0.1904069368244521,0.5923344947735192,-0.003515827607394875,True,2583,**反向**但过弱（显著却不足以覆盖交易成本）
对数市值,20,-0.05286153966072276,-4.434920271316159,-16.407275170209186,-0.323771749597772,0.6339563862928349,-0.011718049836312801,True,2568,**反向**有效 · 单调
对数市值,60,-0.076686421650679,-3.679007119548918,-24.230500605687098,-0.48191878140197025,0.651503164556962,-0.024627966766483905,False,2528,**反向**有效 · 非单调（仅极端组有效，慎用）
