,equity,returns,drawdown
2025-08-25 13:09:00,1000000.0,0.0,0.0
2025-08-25 13:10:00,1000000.0,0.0,0.0
2025-08-25 13:11:00,1000000.0,0.0,0.0
2025-08-25 13:12:00,1000000.0,0.0,0.0
2025-08-25 13:13:00,1000000.0,0.0,0.0
2025-08-25 13:14:00,1000000.0,0.0,0.0
2025-08-25 13:15:00,1000000.0,0.0,0.0
2025-08-25 13:16:00,1000000.0,0.0,0.0
2025-08-25 13:17:00,1000000.0,0.0,0.0
2025-08-25 13:18:00,1000000.0,0.0,0.0
2025-08-25 13:19:00,1000000.0,0.0,0.0
2025-08-25 13:20:00,1000000.0,0.0,0.0
2025-08-25 13:21:00,1000000.0,0.0,0.0
2025-08-25 13:22:00,1000000.0,0.0,0.0
2025-08-25 13:23:00,1000000.0,0.0,0.0
2025-08-25 13:24:00,1000000.0,0.0,0.0
2025-08-25 13:25:00,1000000.0,0.0,0.0
2025-08-25 13:26:00,1000000.0,0.0,0.0
2025-08-25 13:27:00,1000000.0,0.0,0.0
2025-08-25 13:28:00,1000000.0,0.0,0.0
2025-08-25 13:29:00,1000000.0,0.0,0.0
2025-08-25 13:30:00,1000000.0,0.0,0.0
2025-08-25 13:31:00,1000000.0,0.0,0.0
2025-08-25 13:32:00,1000000.0,0.0,0.0
2025-08-25 13:33:00,1000000.0,0.0,0.0
2025-08-25 13:34:00,1000000.0,0.0,0.0
2025-08-25 13:35:00,1000000.0,0.0,0.0
2025-08-25 13:36:00,1000000.0,0.0,0.0
2025-08-25 13:37:00,1000000.0,0.0,0.0
2025-08-25 13:38:00,1000000.0,0.0,0.0
2025-08-25 13:39:00,1000000.0,0.0,0.0
2025-08-25 13:40:00,1000000.0,0.0,0.0
2025-08-25 13:41:00,1000000.0,0.0,0.0
2025-08-25 13:42:00,1000000.0,0.0,0.0
2025-08-25 13:43:00,1000000.0,0.0,0.0
2025-08-25 13:44:00,1000000.0,0.0,0.0
2025-08-25 13:45:00,1000000.0,0.0,0.0
2025-08-25 13:46:00,1000000.0,0.0,0.0
2025-08-25 13:47:00,1000000.0,0.0,0.0
2025-08-25 13:48:00,1000000.0,0.0,0.0
2025-08-25 13:49:00,1000000.0,0.0,0.0
2025-08-25 13:50:00,1000000.0,0.0,0.0
2025-08-25 13:51:00,1000000.0,0.0,0.0
2025-08-25 13:52:00,1000000.0,0.0,0.0
2025-08-25 13:53:00,1000000.0,0.0,0.0
2025-08-25 13:54:00,1000000.0,0.0,0.0
2025-08-25 13:55:00,1000000.0,0.0,0.0
2025-08-25 13:56:00,1000000.0,0.0,0.0
2025-08-25 13:57:00,1000000.0,0.0,0.0
2025-08-25 13:58:00,1000000.0,0.0,0.0
2025-08-25 13:59:00,1000000.0,0.0,0.0
2025-08-25 14:00:00,1000000.0,0.0,0.0
