MA,band,confirm,总收益,年化,最大回撤,Sharpe,Calmar,切换
20,0.0,1,-0.4914741110559925,-0.06127631598736871,-0.5437436275603797,-0.6879480959261213,-0.11269339608134407,210
20,0.0,2,-0.31607478816999424,-0.034900917340917936,-0.4197940118616238,-0.4425323047992566,-0.08313819719854004,169
20,0.0,3,-0.36736042805999436,-0.04190973199694781,-0.5354530532782256,-0.49336039083507816,-0.07826966666893051,144
20,0.01,1,-0.22558395836599532,-0.023621613715240297,-0.34764926819046904,-0.3286258488478003,-0.06794668039484714,114
20,0.01,2,-0.18234251408799618,-0.018648288343216746,-0.3549189278599266,-0.27476984719620745,-0.05254238892149628,96
20,0.01,3,-0.14135845844399564,-0.014149979895201614,-0.3771571751978343,-0.22972225741892294,-0.03751746175259525,82
20,0.02,1,0.021422860394001653,0.0019840294090944788,-0.29275569022157777,-0.09444294040911058,0.006777082309118665,68
20,0.02,2,0.23506815343000476,0.01993825391834081,-0.2801388445969909,0.05860827415786521,0.07117275701991303,52
20,0.02,3,0.1696940637500024,0.01476466756459982,-0.2522795634405216,0.015025926633489473,0.058525024235983325,42
20,0.03,1,0.12402269875800198,0.010992425375224046,-0.3165915188419455,-0.013419070179220243,0.03472116187898225,40
20,0.03,2,0.020611662240001882,0.001909592273413585,-0.26308928467428916,-0.10261876591036906,0.007258343021372786,32
20,0.03,3,0.22670428281200183,0.01929039852834702,-0.3365410744706646,0.05284576285444831,0.05731959630392311,19
40,0.0,1,-0.24400657979999485,-0.02581732495617617,-0.4002108290679618,-0.3539419152610147,-0.0645093112955022,146
40,0.0,2,0.0923992993980054,0.008298191845953484,-0.3287691641770708,-0.04429601920235632,0.02524017684786334,103
40,0.0,3,0.12312745988400375,0.010917103751362678,-0.2659316148996095,-0.023198249696031455,0.04105229743174364,86
40,0.01,1,-0.01892433826199702,-0.0017849499964024407,-0.29839529430371503,-0.1343791721250593,-0.005981830244902149,80
40,0.01,2,0.13928023881400264,0.012267839432924088,-0.2738421771623154,-0.007520585908378645,0.04479894061626792,60
40,0.01,3,-0.02419452307199721,-0.0022875914299321787,-0.302297158328644,-0.13009932266740484,-0.007567360019458771,54
40,0.02,1,0.17237966920200276,0.01498230561740077,-0.23789390171818914,0.012455934810765165,0.06297893938932878,48
40,0.02,2,-0.14445852599399767,-0.014483354828145667,-0.3295117632161323,-0.2344554593969945,-0.04395398418188121,48
40,0.02,3,-0.08066791504599813,-0.00783395394307429,-0.31264706286579336,-0.20927484512704267,-0.025056860829801197,41
40,0.03,1,0.08191443049200298,0.007389286986486665,-0.25857206666263244,-0.05396540515691256,0.02857728246465119,38
40,0.03,2,0.080108903078002,0.007231965400767093,-0.34703321793785213,-0.06750401841555038,0.020839403915685725,31
40,0.03,3,0.24554829897000174,0.020744442850170186,-0.33439784044138665,0.059743541751317235,0.0620352177597459,27
60,0.0,1,-0.1913529395699961,-0.019664604102762495,-0.37585300084942097,-0.29195301968385695,-0.0523199337462275,116
60,0.0,2,0.005968345648003748,0.0005565870476964552,-0.2846537639824812,-0.11107480762073024,0.0019553124466350283,86
60,0.0,3,-0.0167480999939964,-0.0015781060070576558,-0.2994286588273286,-0.12751020197992555,-0.005270390660794101,68
60,0.01,1,0.14097192254000346,0.012408296317845346,-0.26787125410929513,-0.008720146586125972,0.04632186592437646,58
60,0.01,2,-0.10926004770599707,-0.010760874174303714,-0.3604521929826562,-0.204358856636147,-0.02985381802024851,50
60,0.01,3,-0.10684189727799731,-0.010510060637316743,-0.3115346855202086,-0.22686949782479543,-0.03373640601131388,45
60,0.02,1,-0.09465562125399751,-0.009255376844408914,-0.32452705139148197,-0.20093779509950335,-0.028519585053771095,44
60,0.02,2,-0.08024042827999833,-0.007790822479226245,-0.3717755112779886,-0.2068389537217131,-0.020955717208067517,37
60,0.02,3,-0.07496408105199781,-0.007259954159338,-0.38455672355292714,-0.1959268568376431,-0.018878760179416813,37
60,0.03,1,0.13891346242200253,0.01223736183594859,-0.3217110182761972,-0.0091238823884461,0.03803836717038551,30
60,0.03,2,0.1079799431600017,0.009634334376595444,-0.3760583533743739,-0.038308047399947906,0.02561925374119868,27
60,0.03,3,0.22706602112800067,0.019318501071227345,-0.3615141640699353,0.047065623805250124,0.0534377432234997,25
80,0.0,1,-0.14007901044399718,-0.014012708655902761,-0.3209183120248047,-0.23629462047750854,-0.043664409698190354,98
80,0.0,2,0.006654096322004088,0.0006203459058840011,-0.35982609437004187,-0.10721995599058397,0.0017240158943171114,68
80,0.0,3,-0.044793559345996825,-0.004276119530617684,-0.418751863587438,-0.16773043558386988,-0.010211583284631289,63
80,0.01,1,-0.04137455719799821,-0.003943392094235554,-0.38806998191783815,-0.14963222961364286,-0.010161548890608203,52
80,0.01,2,0.02672922538400324,0.002469634236355711,-0.36749604356756804,-0.10608799043176967,0.006720165508126464,39
80,0.01,3,-0.007913777499997776,-0.0007426732110207279,-0.37189703004537433,-0.13350757827113718,-0.001996986130623619,37
80,0.02,1,0.05405101437800197,0.004934501684056514,-0.3675642111243306,-0.07064926087673974,0.013424869817881676,34
80,0.02,2,-0.07976800474399759,-0.007743178233140635,-0.42689690790530854,-0.1987982195179023,-0.018138286058652305,33
80,0.02,3,0.10867128965600159,0.009693226373420627,-0.35104755738587035,-0.03971037700474019,0.027612288333816445,29
80,0.03,1,0.0687167650180025,0.006233797882950753,-0.31249855553777617,-0.06435688906807449,0.019948245431800675,28
80,0.03,2,0.17603844301400073,0.015278081884921413,-0.2825432585879567,0.007794191246123182,0.054073425645600005,23
80,0.03,3,0.2161230265280003,0.01846502542737749,-0.31262540861226373,0.038712645070540404,0.05906437838607959,21
120,0.0,1,0.07290839997200194,0.006602181257929329,-0.3869805194639895,-0.05852299957171679,0.017060758683858493,74
120,0.0,2,0.08507005840000303,0.007663676714686707,-0.38879845653371325,-0.06125080783525558,0.01971118091108517,57
120,0.0,3,0.09920521843800256,0.008883955182437564,-0.35236261461474794,-0.04938649183656695,0.025212536216847936,43
120,0.01,1,0.2198431762940023,0.018755948880017748,-0.3428624539335282,0.046287926895269206,0.05470400350005668,36
120,0.01,2,0.20257708126000096,0.017398842749621224,-0.3173869623983482,0.02753853677390569,0.05481902160739724,31
120,0.01,3,0.2245500629480015,0.019122886847843468,-0.3443591233156207,0.04394187624646301,0.055531814182011606,29
120,0.02,1,0.06526494957200257,0.005929449109671969,-0.37401861586563667,-0.061388664907051804,0.015853352903166935,30
120,0.02,2,0.106270634212001,0.009488584653781107,-0.3681471688028062,-0.045537001426926016,0.02577389005771102,27
120,0.02,3,0.11791000893000048,0.010477043509435902,-0.3638874415801915,-0.032421969304153246,0.028791989808549162,24
120,0.03,1,0.24009161918800181,0.020325456458937685,-0.3054544537327504,0.06000410975864517,0.06654169291216466,20
120,0.03,2,0.25094989951200075,0.021157564418241792,-0.30783277068764225,0.06266861697120885,0.06873070846544263,18
120,0.03,3,0.35278826244600014,0.028658228159161858,-0.32842915656896154,0.12971950244599514,0.08725847747060295,14
200,0.0,1,0.3158639209600025,0.02599971457148964,-0.28315105444743616,0.10747916186526706,0.09182277149639292,42
200,0.0,2,0.2552733077380025,0.021487060939689107,-0.3457007979234955,0.07101329760908812,0.06215508054582,36
200,0.0,3,0.3362321653900011,0.027474446707909772,-0.2933542391223254,0.1197265737833507,0.09365621165083365,31
200,0.01,1,0.26701334366600205,0.02237663296389436,-0.32142811873590804,0.07788937266823956,0.06961628948922002,30
200,0.01,2,0.25244045016000194,0.021271279022371026,-0.33435782116688817,0.06477199854306938,0.06361830851790927,27
200,0.01,3,0.12232367318200166,0.010849430144427075,-0.3497361155233357,-0.04016388868808404,0.03102176087302931,19
200,0.02,1,0.3885468744680016,0.0311708389195815,-0.2850582161278641,0.14910481299769324,0.10934902821955389,17
200,0.02,2,0.1905186762460005,0.016440543428049237,-0.3058893400004853,0.013743100389520852,0.053746702739046595,13
200,0.02,3,0.13442337776400048,0.011863531492354529,-0.2885539172631423,-0.03130872617830678,0.0411137426408104,13
200,0.03,1,0.41523822006400035,0.033008380802670656,-0.2679993373254116,0.1640259426912517,0.12316590455815583,13
200,0.03,2,0.2139914364400004,0.018297966895058693,-0.22227445498088072,0.02977260213962647,0.08232150157170612,9
200,0.03,3,0.2540786095559999,0.021396113330112376,-0.22095565640510884,0.061862716947377806,0.09683442224662443,9
