规则,级别,标的,数量,说明,样例
涨跌幅异常,可疑,601088.SSE,63,63 根 K 线涨跌幅超过 15%（最大 888.9%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00; 2020-02-04 00:00:00; 2020-02-11 00:00:00; 2020-02-25 00:00:00; 2020-02-28 00:00:00
涨跌幅异常,可疑,601166.SSE,1,1 根 K 线涨跌幅超过 15%（最大 16.6%），可能是复权跳变、停牌复牌或数据错误,2020-07-06 00:00:00
涨跌幅异常,可疑,601169.SSE,1,1 根 K 线涨跌幅超过 15%（最大 15.7%），可能是复权跳变、停牌复牌或数据错误,2020-07-06 00:00:00
价格为负,错误,601225.SSE,139,139 根 K 线出现负价格,2020-02-03 00:00:00; 2020-02-04 00:00:00; 2020-02-05 00:00:00; 2020-02-06 00:00:00; 2020-02-07 00:00:00
涨跌幅异常,可疑,601225.SSE,70,70 根 K 线涨跌幅超过 15%（最大 1444.4%），可能是复权跳变、停牌复牌或数据错误,2020-01-06 00:00:00; 2020-01-08 00:00:00; 2020-01-15 00:00:00; 2020-01-16 00:00:00; 2020-01-21 00:00:00
涨跌幅异常,可疑,601838.SSE,4,4 根 K 线涨跌幅超过 15%（最大 24.1%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00; 2020-07-06 00:00:00; 2020-08-04 00:00:00; 2020-08-17 00:00:00
涨跌幅异常,可疑,601857.SSE,1,1 根 K 线涨跌幅超过 15%（最大 15.1%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00
涨跌幅异常,可疑,601898.SSE,6,6 根 K 线涨跌幅超过 15%（最大 21.3%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00; 2020-07-06 00:00:00; 2021-01-07 00:00:00; 2021-02-22 00:00:00; 2021-03-25 00:00:00
涨跌幅异常,可疑,601899.SSE,7,7 根 K 线涨跌幅超过 15%（最大 23.5%），可能是复权跳变、停牌复牌或数据错误,2020-02-03 00:00:00; 2020-03-24 00:00:00; 2020-04-07 00:00:00; 2020-04-14 00:00:00; 2020-04-27 00:00:00
价格为负,错误,601919.SSE,234,234 根 K 线出现负价格,2020-01-02 00:00:00; 2020-01-03 00:00:00; 2020-01-06 00:00:00; 2020-01-07 00:00:00; 2020-01-08 00:00:00
涨跌幅异常,可疑,601919.SSE,70,70 根 K 线涨跌幅超过 15%（最大 349.3%），可能是复权跳变、停牌复牌或数据错误,2020-11-23 00:00:00; 2020-11-24 00:00:00; 2020-11-25 00:00:00; 2020-11-27 00:00:00; 2020-11-30 00:00:00
涨跌幅异常,可疑,601998.SSE,1,1 根 K 线涨跌幅超过 15%（最大 16.2%），可能是复权跳变、停牌复牌或数据错误,2020-07-06 00:00:00
涨跌幅异常,可疑,605117.SSE,16,16 根 K 线涨跌幅超过 15%（最大 52.9%），可能是复权跳变、停牌复牌或数据错误,2021-04-21 00:00:00; 2021-04-22 00:00:00; 2021-04-23 00:00:00; 2021-04-26 00:00:00; 2021-04-27 00:00:00
