规则,级别,标的,数量,说明,样例
涨跌幅异常,可疑,000975.SZSE,7,7 根 K 线涨跌幅超过 15%（最大 21.5%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2020-03-27 00:00:00; 2020-07-24 00:00:00; 2022-03-25 00:00:00; 2026-01-23 00:00:00
涨跌幅异常,可疑,000977.SZSE,19,19 根 K 线涨跌幅超过 15%（最大 36.3%），可能是复权跳变、停牌复牌或数据错误,2020-02-07 00:00:00; 2020-07-10 00:00:00; 2021-07-16 00:00:00; 2023-02-10 00:00:00; 2023-02-17 00:00:00
涨跌幅异常,可疑,000988.SZSE,10,10 根 K 线涨跌幅超过 15%（最大 27.6%），可能是复权跳变、停牌复牌或数据错误,2023-04-07 00:00:00; 2023-04-21 00:00:00; 2025-02-21 00:00:00; 2025-08-29 00:00:00; 2025-09-19 00:00:00
涨跌幅异常,可疑,000999.SZSE,2,2 根 K 线涨跌幅超过 15%（最大 17.5%），可能是复权跳变、停牌复牌或数据错误,2022-04-01 00:00:00; 2024-09-13 00:00:00
涨跌幅异常,可疑,001280.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 21.9%），可能是复权跳变、停牌复牌或数据错误,2026-01-23 00:00:00
涨跌幅异常,可疑,002027.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 15.1%），可能是复权跳变、停牌复牌或数据错误,2020-10-16 00:00:00
涨跌幅异常,可疑,002028.SZSE,5,5 根 K 线涨跌幅超过 15%（最大 23.3%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2020-07-31 00:00:00; 2021-03-19 00:00:00; 2022-06-03 00:00:00; 2026-01-16 00:00:00
涨跌幅异常,可疑,002049.SZSE,8,8 根 K 线涨跌幅超过 15%（最大 34.9%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2020-07-03 00:00:00; 2020-07-10 00:00:00; 2020-08-07 00:00:00; 2021-07-09 00:00:00
涨跌幅异常,可疑,002050.SZSE,8,8 根 K 线涨跌幅超过 15%（最大 19.9%），可能是复权跳变、停牌复牌或数据错误,2022-07-29 00:00:00; 2022-11-04 00:00:00; 2023-06-16 00:00:00; 2024-09-27 00:00:00; 2025-01-10 00:00:00
涨跌幅异常,可疑,002074.SZSE,13,13 根 K 线涨跌幅超过 15%（最大 37.7%），可能是复权跳变、停牌复牌或数据错误,2020-01-17 00:00:00; 2020-01-24 00:00:00; 2020-02-28 00:00:00; 2020-04-17 00:00:00; 2021-07-09 00:00:00
涨跌幅异常,可疑,002142.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 19.1%），可能是复权跳变、停牌复牌或数据错误,2024-09-27 00:00:00
涨跌幅异常,可疑,002179.SZSE,2,2 根 K 线涨跌幅超过 15%（最大 16.2%），可能是复权跳变、停牌复牌或数据错误,2020-12-25 00:00:00; 2026-07-17 00:00:00
涨跌幅异常,可疑,002202.SZSE,7,7 根 K 线涨跌幅超过 15%（最大 52.1%），可能是复权跳变、停牌复牌或数据错误,2020-07-31 00:00:00; 2021-09-03 00:00:00; 2024-07-26 00:00:00; 2025-12-26 00:00:00; 2026-01-09 00:00:00
