,equity,returns,drawdown
2022-01-04,1000000.0,0.0,0.0
2022-01-05,1000000.0,0.0,0.0
2022-01-06,1000000.0,0.0,0.0
2022-01-07,1000000.0,0.0,0.0
2022-01-10,1000000.0,0.0,0.0
2022-01-11,1000000.0,0.0,0.0
2022-01-12,1000000.0,0.0,0.0
2022-01-13,1000000.0,0.0,0.0
2022-01-14,1000000.0,0.0,0.0
2022-01-17,1000000.0,0.0,0.0
2022-01-18,1000000.0,0.0,0.0
2022-01-19,1000000.0,0.0,0.0
2022-01-20,1000000.0,0.0,0.0
2022-01-21,1000000.0,0.0,0.0
2022-01-24,1000000.0,0.0,0.0
2022-01-25,1000000.0,0.0,0.0
2022-01-26,1000000.0,0.0,0.0
2022-01-27,1000000.0,0.0,0.0
2022-01-28,1000000.0,0.0,0.0
2022-02-07,1000000.0,0.0,0.0
2022-02-08,1003716.5588354415,0.00371655883544153,0.0
2022-02-09,1022342.4814968178,0.01855695464762186,0.0
2022-02-10,1016172.9860627232,-0.006034666020198753,-0.006034666020198753
2022-02-11,995023.999021822,-0.020812388570616625,-0.026721458776709173
2022-02-14,997338.6932654174,0.002326269764217681,-0.02445735033409957
2022-02-15,1005782.75018401,0.008466589109207945,-0.0161978315608704
2022-02-16,1010213.336878253,0.004405113026080931,-0.011864071813592614
2022-02-17,1006715.8462511563,-0.0034621307197394424,-0.015285127565845102
2022-02-18,1009562.7985628151,0.002827960165979748,-0.012500393131753551
2022-02-21,1028111.4291816113,0.01837293395240147,0.0
2022-02-22,1017655.0384881548,-0.010170483856774104,-0.010170483856774104
2022-02-23,1037125.0906354033,0.019132271163491366,0.0
2022-02-24,1020327.4365961136,-0.01619636260945001,-0.01619636260945001
2022-02-25,1028459.9413752276,0.007970485245643033,-0.008354970233018677
2022-02-28,1034526.8785515041,0.005899050543635154,-0.002505206081078737
2022-03-01,1034436.6359974307,-8.723074861027857e-05,-0.0025922182986871656
2022-03-02,1040121.0403697675,0.00549516922982507,0.0
2022-03-03,1032927.901873633,-0.0069156744426371874,-0.0069156744426371874
2022-03-04,1028994.0698131677,-0.0038084285005078877,-0.010697765091497557
2022-03-07,1016033.8583329917,-0.012595030292574139,-0.02315805670868143
2022-03-08,987241.4559921345,-0.02833803431324322,-0.05083983721628593
2022-03-09,978357.0605206348,-0.00899921231789369,-0.0593815310448631
2022-03-10,995805.8125941346,0.01783474845493971,-0.04260583725897771
2022-03-11,1000187.9785666345,0.004400623010106797,-0.038392706476677585
2022-03-14,979828.1452996347,-0.02035600677402405,-0.057967191057589185
2022-03-15,949361.4908896347,-0.031093875549658923,-0.08725864198254019
2022-03-16,971580.8831436345,0.023404564507012227,-0.06589632799060252
2022-03-17,999369.1565796344,0.028601091188711347,-0.03917994368775157
2022-03-18,997462.9830766346,-0.001907376759078483,-0.041012589532817945
2022-03-21,1002810.0968851345,0.005360714030717029,-0.035871732266245515
2022-03-22,1001081.1205616347,-0.0017241313473710385,-0.03753401603553175
2022-03-23,1004267.8023126347,0.003183240284475808,-0.034470255542938366
2022-03-24,997309.2099341345,-0.0069290206879837335,-0.04116043111714496
2022-03-25,985364.7127856347,-0.011976723998456507,-0.05264418799245396
2022-03-28,978237.3094986347,-0.0072332641858574576,-0.059496662858712024
2022-03-29,970066.8071226345,-0.008352270248399907,-0.0673520009000379
2022-03-30,987857.3653556346,0.018339518579931324,-0.05024768559200854
2022-03-31,974025.0307096345,-0.014002360189945384,-0.06354645958958349
2022-04-01,975310.2193101346,0.0013194615743743476,-0.062310845126825165
2022-04-06,972176.0870536345,-0.0032134721798742216,-0.06532408313937987
2022-04-07,964935.4295681773,-0.007447886840542761,-0.07228544360073841
2022-04-08,961742.5084186773,-0.0033089479893270157,-0.07535520281680519
2022-04-11,953881.4422556772,-0.008173774263056544,-0.08291304066249028
2022-04-12,955636.1016296772,0.0018394941931680897,-0.08122606452615888
2022-04-13,951174.8912896772,-0.00466831499185949,-0.08551519066326119
2022-04-14,952045.7932216773,0.0009156065198685504,-0.08467788240951168
2022-04-15,952401.4825686773,0.0003736052924474542,-0.08433591322208567
2022-04-18,958186.1345276772,0.006073753626882672,-0.07877439515401208
2022-04-19,956899.3330651773,-0.0013429556284846322,-0.08001156026514422
2022-04-20,954265.5864326772,-0.002752375868069201,-0.08254371424557305
2022-04-21,947921.6960926773,-0.006647929496981231,-0.0886428989498308
2022-04-22,945239.2344736772,-0.002829834605597825,-0.09122188881243987
2022-04-25,939329.560379065,-0.006252040625358557,-0.0969036064830211
2022-04-26,937682.002754665,-0.0017539718687604733,-0.09848761215202895
2022-04-27,940247.696154565,0.0027362084292570366,-0.09602088635731965
2022-04-28,939656.581574965,-0.0006286796362463543,-0.09658919961765877
2022-04-29,941885.516452465,0.0023720739270127744,-0.09444624241269006
2022-05-05,942813.814003465,0.0009855736549557736,-0.09355375248606579
2022-05-06,942431.979658615,-0.00040499443175179284,-0.0939208581689912
2022-05-09,942846.885079015,0.0004402497255562299,-0.09352195707546795
2022-05-10,942219.7586113499,-0.0006651413687521757,-0.09412489312168248
2022-05-11,942183.2006113498,-3.8799865600291916e-05,-0.09416004095408004
2022-05-12,942214.0406113499,3.273248767343695e-05,-0.09413039055878658
2022-05-13,942240.8366113498,2.843939789154426e-05,-0.09410462817252574
2022-05-16,942276.7166113498,3.8079436388116505e-05,-0.09407013218733995
2022-05-17,942259.6466113498,-1.8115697543175102e-05,-0.09408654373882053
2022-05-18,942115.2926113498,-0.00015319981123995685,-0.09422532950931961
2022-05-19,941996.2466113499,-0.00012636033077229047,-0.09433978349628791
2022-05-20,942364.8386113498,0.0003912881832872639,-0.0939854093554966
2022-05-23,942641.5886113498,0.00029367606754915343,-0.093719334553374
2022-05-24,942146.9306113499,-0.0005247572417514945,-0.09419491189562645
2022-05-25,942325.9646113499,0.00019002768483655785,-0.09402278385182083
